Student No,Which test,scores of every questions,the last one is total score,,,,
1,2,15,27,38,80,,
2,2,14,24,47,85,,
3,2,5,26,4,35,,
4,2,13,27,46,86,,
5,2,16,24,45,85,,
6,2,10,24,36,70,,
7,2,8,15,42,65,,
8,2,6,17,35,58,,
9,2,9,17,37,63,,
10,2,12,16,37,65,,
11,2,15,18,36,69,,
12,2,17,9,35,61,,
13,2,20,8,32,60,,
14,2,12,7,34,53,,
15,2,14,9,33,56,,
16,2,16,9,31,56,,
17,2,16,18,27,61,,
18,2,3,7,28,38,,
19,2,7,9,29,45,,
20,2,8,8,26,42,,
21,2,9,13,25,47,,
22,2,7,15,23,45,,
23,2,9,16,50,75,,
24,2,7,17,47,71,,
25,2,8,19,48,75,,
26,2,9,12,43,64,,
27,2,7,16,46,69,,
28,2,6,27,42,75,,
29,2,8,25,37,70,,
30,2,8,28,38,74,,
31,2,9,29,39,77,,
32,2,8,30,34,72,,
33,2,8,27,30,65,,
34,2,6,26,26,58,,
35,2,6,15,27,48,,
36,2,12,16,18,46,,
37,2,14,14,19,47,,
38,2,5,13,8,26,,
39,2,13,12,7,32,,
40,2,20,8,9,37,,
41,2,8,9,43,60,,
42,2,5,7,37,49,,
43,2,4,8,28,40,,
44,2,2,9,50,61,,
45,2,15,14,48,77,,
46,2,14,16,42,72,,
47,2,17,14,44,75,,
48,2,12,26,41,79,,
49,2,7,28,30,65,,
50,2,13,25,43,81,,
1,1,5,8,14,25,17,69
2,1,6,13,16,24,18,77
3,1,7,6,12,20,15,60
4,1,3,8,17,18,19,65
5,1,8,9,6,25,24,72
6,1,2,12,9,16,21,60
7,1,5,7,8,18,15,53
8,1,8,8,4,26,9,55
9,1,7,15,12,30,16,80
10,1,5,12,19,19,21,76
