Student No,Which test,scores of every questions,,,,,,,,
1,3,4,4,0,4,0,27,9,26,74
2,3,0,4,0,0,4,24,12,23,67
3,3,0,4,0,0,0,26,15,28,73
4,3,4,4,0,4,4,27,17,23,83
5,3,0,0,4,4,0,24,20,22,74
6,3,4,4,0,0,0,24,12,20,64
7,3,4,0,4,4,4,15,14,21,66
8,3,4,0,0,4,4,17,16,22,67
9,3,0,4,0,4,4,17,16,27,72
10,3,4,4,4,0,0,16,13,23,64
11,3,0,4,0,4,0,18,7,28,61
12,3,4,0,0,0,4,9,8,27,52
13,3,0,4,0,4,0,8,9,26,51
14,3,0,0,4,4,4,7,17,29,65
15,3,4,4,0,4,4,9,9,30,64
16,3,4,4,0,4,4,9,7,20,52
17,3,4,4,0,4,0,18,8,23,61
18,3,0,0,0,4,4,7,9,25,49
19,3,4,4,4,4,0,9,7,25,57
20,3,4,4,0,4,0,8,16,23,59
21,3,4,0,4,4,0,13,8,21,54
22,3,0,4,4,0,4,15,8,21,56
23,3,4,0,0,4,4,16,19,29,76
24,3,0,4,0,4,4,17,8,25,62
25,3,4,4,0,0,4,19,8,27,66
26,3,0,4,4,4,4,12,6,25,59
27,3,4,0,0,4,4,16,16,30,74
28,3,4,4,4,4,0,27,12,23,78
29,3,0,4,4,4,4,25,14,26,81
30,3,4,4,0,4,4,28,5,22,71
